place_id;photo_url;photo_text;photo_mobile_number;photo_has_number
ChIJMY45ZJX9DDkRYGhNxi3ivnM;https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=Aap_uED5jN1FoScuS8fgt0RU1ci4MLg_RA1HH_J06LUpwRigCFIjhokuSTjUvBfE0ELx2uLiKx0DLtS5Me7fc3Psx9_GynOZWPxorw1_zkjPN_7HZXmfRq0D0Mc5wc6pyM69FX0ws8V-DgH6woVw6NHnxxJMYnhVv_i7V51KxpN6Stf-mKLR&key=AIzaSyCnh_GaroRo7-NSMR8lIIR3Oa_MjUAP8kE; RAHUL CORNER RT  ;[];False
ChIJJ48Lulf9DDkR2iRHyA1_fFU;https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=Aap_uEBKZbaxEPpjzSMPf_v4MyEGVbKfrAsO1yo5oBtcTd5VhW4VaCVmYWzOWehZCHw8QZ4XVSMP8Ph3bjZsLu6ImSs82ZrPaqYa6a6RtmurDzqcrbGs2a2JpJlKRkYWWY-J-0DsRVN2m7cruvf_ze7bDRhgVPvsn7oKd0bLaGAENWQdjEz8&key=AIzaSyCnh_GaroRo7-NSMR8lIIR3Oa_MjUAP8kE; SPORT S Se SeERAA S Se SeRA (M)  ;[];False
ChIJPSoL3eD9DDkRrmGkt_hhefw;https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=Aap_uEDkHRbZKDJHqxL2w7_svDp-AlnLyvqKseqyt0Hq_QnLM4gnLbbCrZirhUJYDJ19wSYKStGyXHcsZpxab82pd8iB6jF7P0c0bneUQy_s36oBtcFX9zzixVrqTShtvQpzxi53Vi8KuFQYQ1chfGgk0DyZEwXf-5-4mM-Lz3oMSsBbouy3&key=AIzaSyCnh_GaroRo7-NSMR8lIIR3Oa_MjUAP8kE; ABLE IALYSIS A UNIT Y LAL CHARITABLE TRUST PH 0 CHOICE CHICKEN CORNER KALINA & BEER SHO  ;[];False
ChIJebbzFt79DDkRwkMvKTUd7XE;https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=Aap_uEBnoQrsmRoRoD2ITMMEgeoaMiZa0QwUdL342rloiX0YS6UHE90hsTEHTnP6v6B0FJlOjcsVwCMAatb1swGW972EhOpzPbEez5UJdJjJLw--aYrAEmHuHWLj6VKRbivCeXtqN-D97Vmk2tQqfxT8sBrdowrazwnC8GSo0R11iY9Gz674&key=AIzaSyCnh_GaroRo7-NSMR8lIIR3Oa_MjUAP8kE; INE&BEER SH0P ALL INDIAN & IMPORTED BRAND ARE AVAILAMENEe 7 CSPZ DBC-21 रा नही म SEAGAM'S STAG ROYAL STAG ROYAL STAG RTFORT AILABLE HERE L-7  ;[];False
ChIJyzPoKvGrDTkR57vu-WDkjFM;https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=Aap_uEBuT-k04j8uqh282pihQtDgrzWz4iD5IJngN5dzFZs9txmoDp5NDD6W6x9I35FFTLiNPsx9-2D9yGSZmp-kH3iht9Vy_khbhUsx-EV5n8mZLotV4DSygPoH7gJFsVesatSBwOmlz23ZGWiFVaZko44gErGQoBc7rtf4AiNTO1HO5ZEb&key=AIzaSyCnh_GaroRo7-NSMR8lIIR3Oa_MjUAP8kE; XI X-TRA eeesesenanEn  ;[];False
ChIJu-MjUhMBDTkRZKs6hXLaztw;https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=Aap_uEAttErNu5gfMF-j3gx_UMsRPR3cT8fr1FMThRBHMxtP2e8wDKaTP2_qR6jAv7SOkVubruxSD10PTRx1Qee0tN2AC_sWDGkcP4l3X9HAzbjZcUI1rha8aIFeBKzeQT2PKu-tuQNpirxHBUzwToZq247RbBuqre1507Bc7IhLqNsMFJys&key=AIzaSyCnh_GaroRo7-NSMR8lIIR3Oa_MjUAP8kE; OCHIVAS WIN THE RIGHT W  ;[];False
ChIJZ72EIrH_DDkRVWKs9GOMtvY;https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=Aap_uEBewljqkE4h1qENcbGCvyulBJI0-NXgiIltGgD4PTwShUCD4v_XUe6Sq-BasUKTu8aAqfrI2p1oVTdfMGq_Fu-e__RkKPQo2ybwpOnFNoscLd-2JDyhnGJsBxqrJxq6XBk1_jIES6JOW87-5f64RTa0sLZJIld5-D2GOcJfRr_AtmcR&key=AIzaSyCnh_GaroRo7-NSMR8lIIR3Oa_MjUAP8kE; सास्कासे देका समे ट पेजी शराब  ;[];False
ChIJXWAE0kWrDTkRXBRgrRYQ-DE;https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=Aap_uEDlnPF9FtUhJNsgENsTv6i39tfyGSCiKTrSDnKjcY0tofcjAVbvKkAmB_vEBNfok1Z9RGsf6YLAau3_QzE5i_rpyJW_1WKpKHvRHksjO9-3kofDbdtjnWNuh77EmKcpi5wsD8vGc0_405CNHU1TpM6d46uFN7fScf3eO2Ix27biqa8U&key=AIzaSyCnh_GaroRo7-NSMR8lIIR3Oa_MjUAP8kE; FACHER'S at 12 कपया करके किी हे बरज न EACHER'S EACHER'S TEAG  ;[];False
ChIJcwyFRcupDTkRc96bsiAVxVw;https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=Aap_uEAzRyZD0kx_2UQum71gJEM919zu8YB1C_Bgq-tjKYgK_mxWFw2vlMcpCYQfq-LcMiojQbhedqQJyrcoBQcCqCPXHo5n1Wc1YpNBEXCYvnZAJNjCPDUtyKmj9YXthgHFxiRV1Ua4outXflPEk2Rfj3sJevFVYScba3pklDxYyrJ3R1HG&key=AIzaSyCnh_GaroRo7-NSMR8lIIR3Oa_MjUAP8kE; drell a de EN (7का ंग्रेजी शारक a Buo a fae als uz 3ucal  ;[];False
ChIJG2-8xWoCDTkRSvHtD9i2DkY;https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=Aap_uEAdvh1LCkvckHHUn7AGsl2SDF5EOHKdyxuKAG9CPRZRr1Qs_QI6G-GSa1AHzR1UNCflIybkHOH1T1U8Ld2EhdbzaVykFlkAbNj6SkLRR2QI3s4Dp8N91pdDcqos7sYdn_ZMnX8HQfWeOTk4XcGTpCvl5_Cq9RMQnRf4fI_UwD1GzYyA&key=AIzaSyCnh_GaroRo7-NSMR8lIIR3Oa_MjUAP8kE; INJOYED apOYED SINCE 1800 BLENDERS PRIDE TUBORGE DNOMIS TUBORG  ;[];False
ChIJFUnhSJwDDTkRSzMqajiX0Bk;https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=Aap_uEARHfilZrSfZTRAGHRza_FetGUGuyM_pwdJlqJePwAwaDgtEQkrnTRji0nomGQegurUjooojRN8La_CVwuzhm0e-WL7o_wvQkxqYeYOd7L8Li4JhFKzzb6zPRFVJOgL3RDinR9Su3BUGXBgGbStBhMuf37XIKRNOfF-QtcMBSbOsMVh&key=AIzaSyCnh_GaroRo7-NSMR8lIIR3Oa_MjUAP8kE; WINE &BEER SHOP Call: 78480 10536 ALL INDIAN &IMPORTED BRAND ARE AVAILABLE HERE. HAIT pleel iske CONSUMING LIQUOR IN PUBIC PLACE ISA C PUBLIC NOTICE PURC PLACELLAL AND PURSAE WITH FE AND IMPRISMERT AS PROVIBED UNDER  ;['480 1053'];True
